gene_symbol,chromosome,clinical_significance,disease,inheritance_pattern,allele_frequency
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,7.1e-05
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.00722952
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.002676309
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.036814474
CFTR,chr7,Uncertain,Cftr-Related Disorder,germline,0.027544315
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.066635104
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007392286
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001569046
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.016631017
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000291594
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.031512625
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000194238
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.038203839
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.03945611
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.049837764
DMD,chrX,Pathogenic,Becker Muscular Dystrophy,germline,0.039729138
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000237475
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001288096
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,6.16e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.036050882
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.000657086
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,7.19e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.012779609
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.018896888
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.004383875
DMD,chrX,Benign,Cardiovascular Phenotype,germline,0.111404887
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.008727337
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.072883575
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.010312999
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.017443071
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.001580122
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.017365151
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.018413761
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.017850234
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.00388427
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.052337018
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000440026
CFTR,chr7,Benign,Cystic Fibrosis,germline,1.2e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.077266379
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.005738448
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.024669524
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.191720322
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.037972625
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00061138
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.018481756
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.109763984
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.011840113
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005494989
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.001364965
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.014204632
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.000797417
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001337244
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.017035703
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.010955087
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.013806823
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000556535
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.040798759
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.056707952
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.078140003
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000523228
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.044471971
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.013406943
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.00384476
CFTR,chr7,Uncertain,Cystic Fibrosis,unknown,0.035954646
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.026702583
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.061847216
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.003151239
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.210830955
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.002454283
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.010583817
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.022577011
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000654602
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.002233651
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003581752
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.008897814
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000755496
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005650555
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.078852111
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005285961
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.004795368
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.005952119
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.03102294
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.086849608
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.077582367
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.108123706
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006851641
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.003056478
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.005083457
DMD,chrX,Benign,Dystrophin Deficiency,germline,0.009172981
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003323509
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000543144
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004656498
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.012556126
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001047619
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.024086969
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.035472403
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.040136884
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.051092181
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000109518
DMD,chrX,Benign,Dystrophin Deficiency,germline,0.005587056
CFTR,chr7,Pathogenic,Bronchiectasis With Or Without Elevated Sweat Chloride 1,germline,0.014062462
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.005311677
DMD,chrX,Benign,Dilated Cardiomyopathy 3B,germline,0.001616997
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.031816329
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.003334432
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007145914
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.029798491
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000863866
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.054224846
HEXA,chr15,Pathogenic,"Gm2-Gangliosidosis, B1 Variant",germline,0.024264942
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.00331682
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003288499
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.042174621
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.002384186
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00334729
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.0233427
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.011497402
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000824833
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004189308
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,9.29e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.009307478
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.015584063
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.003286214
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.000325676
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.000387005
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.061455044
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005646176
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.0416492
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.062635725
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.020326795
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.020363352
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.049324312
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,9.59e-07
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.013459309
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.009479742
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.001508149
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.009757269
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.000125294
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.046898619
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.011971936
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007923881
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.004776349
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.022369453
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.039938718
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001282273
DMD,chrX,Pathogenic,Primary Dilated Cardiomyopathy,germline,0.000107625
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,6.42e-08
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.031343567
CFTR,chr7,Pathogenic,Cftr-Related Disorder,germline,0.002955285
CFTR,chr7,Pathogenic,Cystic Fibrosis,unknown,0.037008151
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.05020534
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.010665034
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,6.78e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.018262012
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.033200896
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000430872
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.013015552
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.02359973
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.020578545
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001504731
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.043983031
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.063807837
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.059459175
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,1.11e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,8.75e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.030186554
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000476018
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000863347
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.021775459
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.065463481
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000802618
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.009885423
HEXA,chr15,Pathogenic,"Gm2-Gangliosidosis, Adult-Onset",germline,0.000258452
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000628115
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.038775786
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.014129622
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002974962
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.011166739
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.121684681
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.005117571
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.013782921
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005495539
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.021308032
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.023738542
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.063118948
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.020163663
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.004567702
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.012412798
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.067927484
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.058406921
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.014693968
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.00919969
DMD,chrX,Uncertain,Becker Muscular Dystrophy,unknown,0.003255534
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.007783848
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.024197001
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.009248197
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.008343006
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.054097016
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.09854013
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.047372199
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001291396
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001512397
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001194989
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.024447308
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.017556908
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006527117
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.164028057
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000122509
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.012295032
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,1.19e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.026401363
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.004832402
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.032524336
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.060710385
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.084404329
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.109009923
DMD,chrX,Pathogenic,Becker Muscular Dystrophy,germline,0.023371411
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000686151
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.06339947
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.067622512
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,1.09e-05
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.058638143
DMD,chrX,Pathogenic,Becker Muscular Dystrophy,germline,0.006852837
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000637088
DMD,chrX,Pathogenic,Cardiovascular Phenotype,germline,1.98e-06
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.005108337
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.033321247
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000463054
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.012025159
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.012948961
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001126033
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000567083
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.006998501
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.034249116
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.00981585
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.031026705
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.011643076
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000411876
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.182173444
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.028684467
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.065768935
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.080679245
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.084450897
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000201276
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.02929253
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002384754
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.079349879
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.023202042
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00257328
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000109313
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.088652422
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.01825688
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.015889611
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.044970133
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00027999
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.009301365
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.01427413
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.00124848
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.017064405
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.000112312
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.002086487
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000102608
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.018244779
CFTR,chr7,Pathogenic,Cftr-Related Disorder,germline,0.023313659
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.045566803
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000598716
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.010728684
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.03398209
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.022777338
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.011005004
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.009948888
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.097630577
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001852326
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007578615
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.116327529
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.015633214
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008097198
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.003636032
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.013615832
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.003387557
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000589442
CFTR,chr7,Benign,Cystic Fibrosis,germline,2.97e-05
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.021206523
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.005227493
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008443879
DMD,chrX,Uncertain,Cardiovascular Phenotype,germline,0.041293074
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.013602484
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.019095821
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.041141396
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.063467878
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.070298149
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003810098
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.018366919
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003954021
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.048461902
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.054139013
DMD,chrX,Benign,Becker Muscular Dystrophy,germline,0.004662736
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.180192069
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.004620687
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.057206939
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.13369024
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003098129
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.018594606
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.0637477
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000577228
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.018091326
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.054458083
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.005815351
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001533663
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.006464021
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.028824147
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.040719185
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000192472
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.060572354
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.035374893
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.02611151
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.002563041
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005589993
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.024944536
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.134276381
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.004304683
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007336539
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00142856
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000271879
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.020678613
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.023301949
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.021102077
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.108234288
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.001913489
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.054691698
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.00036538
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.051824713
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.042368994
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.010342755
DMD,chrX,Pathogenic,Cardiovascular Phenotype,germline,0.018073105
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.139432932
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.004522549
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.041564065
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.004688099
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.009171815
CFTR,chr7,Unknown,Cystic Fibrosis,germline,0.01136118
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000442286
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004142296
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.164812456
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.002805693
DMD,chrX,Uncertain,Dilated Cardiomyopathy 3B,germline,0.05600045
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.028368131
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.009679558
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.023670849
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000177907
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.011036921
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.036505451
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.053853
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.002768506
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.074899764
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.022868199
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001198828
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.052590092
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.00828069
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.002736588
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.028940763
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000143325
DMD,chrX,Pathogenic,Abnormality Of The Musculature,germline,0.059680834
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.031539889
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000592559
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.017675597
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.011689646
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000859818
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.005570229
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008132802
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.013177411
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.000928287
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.027986791
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.070005985
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.018198066
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.010209703
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.045232628
